Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
"D_A1, D_A2, D_A3, D_A4, D_A5, D_A6, D_A7, D_A8, D_A9, D_B1, D_B2, D_B3, D_B4, D_B5, D_B6, D_B7, D_B8, D_B9, D_C1, D_C2, D_C3, D_C4, D_C5, D_C6, D_C8, D_C9, D_D1, D_D2, D_D3, D_D4, D_D6, D_D7, D_D8, D_D9, D_E1, D_E2, D_E4, D_E5, D_E6, D_E7, D_E8, D_E9",D_SOD-123,42,D,
"H1, H2, H3, H4, H5, H6, H7",MountingHole_3.2mm_M3_ISO14580_Pad,7,Hole,
"SW_A1, SW_A2, SW_A3, SW_A4, SW_A5, SW_A6, SW_A9, SW_B1, SW_B2, SW_B3, SW_B4, SW_B5, SW_B6, SW_B7, SW_C1, SW_C2, SW_C3, SW_C4, SW_C5, SW_C6, SW_C9, SW_D1, SW_D2, SW_D3, SW_D4, SW_D6, SW_D9, SW_DB7, SW_DB8, SW_E9, SW_EB4, SW_EB5, SW_EB6, SW_EB7, SW_EB8",ChocMX,35,SW_Push,
"SW_A7, SW_AB8, SW_EB1",ChocMX_sameside,3,SW_Push,
"SW_A8, SW_E1",ChocMX_sameside_flippedpads_2.25U,2,SW_Push,
"SW_B8, SW_B9, SW_E2",ChocMX_sameside_flippedpads,3,SW_Push,
SW_C8,ChocMX_flippedpads_2.25U,1,SW_Push,
U2,ArduinoProMicro-ZigZag,1,ProMicro,
